Offset-Description                                                                   
0000 - Byte              299D8479D00 : 136             29A17332A40 : 136             
0001 - Byte              299D8479D01 : 97              29A17332A41 : 97              
0002 - Byte              299D8479D02 : 181             29A17332A42 : 181             
0003 - Byte              299D8479D03 : 44              29A17332A43 : 44              
0004 - Double            299D8479D04 : 4.4501477170467729A17332A44 : 4.45014771704677E-308
000C - 4 Bytes           299D8479D0C : 336878          29A17332A4C : 420389          
0010 - 4 Bytes (Hex)     299D8479D10 : AA621C00        29A17332A50 : AA621C00        
0014 - 4 Bytes           299D8479D14 : 665             29A17332A54 : 665             
0018 - 4 Bytes           299D8479D18 : 20919           29A17332A58 : 20919           
001C - 4 Bytes           299D8479D1C : 0               29A17332A5C : 0               
0020 - 4 Bytes           299D8479D20 : 3481870896      29A17332A60 : 389703424       
0024 - 4 Bytes           299D8479D24 : 665             29A17332A64 : 666             
0028 - 4 Bytes (Hex)     299D8479D28 : 2CB56548        29A17332A68 : 2CB56548        
002C - 4 Bytes           299D8479D2C : 32759           29A17332A6C : 32759           
0030 - 4 Bytes           299D8479D30 : 755249576       29A17332A70 : 755249576       
0034 - 4 Bytes           299D8479D34 : 32759           29A17332A74 : 32759           
0038 - 4 Bytes           299D8479D38 : 2               29A17332A78 : 2               
003C - 4 Bytes           299D8479D3C : 12              29A17332A7C : 12              
0040 - Pointer           299D8479D40 : P->00000000     29A17332A80 : P->00000000     
0048 - 4 Bytes           299D8479D48 : 0               29A17332A88 : 0               
004C - 4 Bytes (Hex)     299D8479D4C : 00000000        29A17332A8C : 00000000        
0050 - Pointer           299D8479D50 : P->00000000     29A17332A90 : P->00000000     
0058 - 4 Bytes (Hex)     299D8479D58 : 00000000        29A17332A98 : 00000000        
005C - 4 Bytes           299D8479D5C : 0               29A17332A9C : 0               
0060 - Pointer           299D8479D60 : P->00000000     29A17332AA0 : P->00000000     
0068 - Pointer           299D8479D68 : P->BF8000000000029A17332AA8 : P->BF80000000000000
0070 - 4 Bytes           299D8479D70 : 0               29A17332AB0 : 0               
0074 - 4 Bytes           299D8479D74 : 0               29A17332AB4 : 0               
0078 - 4 Bytes           299D8479D78 : 0               29A17332AB8 : 0               
007C - 4 Bytes           299D8479D7C : 0               29A17332ABC : 0               
0080 - Pointer           299D8479D80 : P->00000000     29A17332AC0 : P->00000000     
0088 - Pointer           299D8479D88 : P->00000000     29A17332AC8 : P->00000000     
0090 - 4 Bytes           299D8479D90 : 0               29A17332AD0 : 0               
0094 - 4 Bytes           299D8479D94 : 0               29A17332AD4 : 0               
0098 - 4 Bytes           299D8479D98 : 0               29A17332AD8 : 0               
009C - 4 Bytes           299D8479D9C : 0               29A17332ADC : 0               
00A0 - 4 Bytes           299D8479DA0 : 0               29A17332AE0 : 0               
00A4 - 4 Bytes           299D8479DA4 : 0               29A17332AE4 : 0               
00A8 - 4 Bytes           299D8479DA8 : 4294967295      29A17332AE8 : 4294967295      
00AC - 4 Bytes           299D8479DAC : 176293401       29A17332AEC : 176293401       
00B0 - 4 Bytes           299D8479DB0 : 1               29A17332AF0 : 1               
00B4 - 4 Bytes           299D8479DB4 : 0               29A17332AF4 : 0               
00B8 - 4 Bytes           299D8479DB8 : 0               29A17332AF8 : 0               
00BC - 4 Bytes           299D8479DBC : 0               29A17332AFC : 0               
00C0 - 4 Bytes           299D8479DC0 : 0               29A17332B00 : 0               
00C4 - 4 Bytes           299D8479DC4 : 0               29A17332B04 : 0               
00C8 - 4 Bytes           299D8479DC8 : 0               29A17332B08 : 0               
00CC - 4 Bytes           299D8479DCC : 0               29A17332B0C : 0               
00D0 - 4 Bytes           299D8479DD0 : 0               29A17332B10 : 0               
00D4 - Double            299D8479DD4 : 0               29A17332B14 : 0               
00DC - Float             299D8479DDC : 0               29A17332B1C : 0               
00E0 - 4 Bytes           299D8479DE0 : 0               29A17332B20 : 0               
00E4 - 4 Bytes           299D8479DE4 : 0               29A17332B24 : 0               
00E8 - Double            299D8479DE8 : 1.4128474737848729A17332B28 : 1.41344173585674E-311
